,BMI,,,FWD,,,EGGF,,,EGGP,,,TOD,,,STAI,,,LM,,,LFP,,,HFP,,,RAT,,,STDEGG,,,
areasNames,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,
'L_OP4_ROI',"4,351","1,504","0,138","7,003","0,504","0,616","7,819","0,886","0,379","6,666","-0,514","0,609","7,399","-0,213","0,832","7,741","0,004","0,996","6,842","0,297","0,768","6,506","-0,619","0,538","7,767","0,297","0,768","2,411","1,891","0,064","7,383","-0,351","0,727","66,000"
'L_OP1_ROI',"7,818","0,028","0,978","2,740","0,830","0,410","11,406","0,627","0,533","3,579","1,757","0,084","7,060","-0,204","0,839","7,514","-0,368","0,715","7,423","-0,063","0,950","7,139","-0,207","0,837","6,972","-0,063","0,950","5,493","0,961","0,341","17,247","-2,240","0,029","67,000"
'L_OP2-3_ROI',"5,321","0,817","0,417","0,478","1,610","0,113","2,890","-0,837","0,406","7,838","-0,042","0,967","5,946","-0,326","0,746","8,248","-0,210","0,834","6,958","0,080","0,936","6,227","-0,691","0,493","5,768","0,080","0,936","6,229","1,128","0,265","11,530","-0,371","0,712","68,000"
'L_52_ROI',"7,536","0,194","0,847","2,460","0,995","0,324","8,748","0,126","0,900","6,044","1,320","0,192","11,917","0,668","0,506","8,186","-0,414","0,680","3,979","0,750","0,457","7,058","-0,714","0,479","7,229","0,750","0,457","7,108","-0,207","0,837","4,159","0,777","0,440","69,000"
'L_RI_ROI',"4,559","0,603","0,549","1,034","1,190","0,239","6,780","-0,204","0,839","5,007","-0,679","0,500","7,608","-0,063","0,950","7,781","-0,043","0,966","7,483","-0,071","0,944","4,829","1,225","0,226","5,202","-0,071","0,944","1,612","2,171","0,035","15,742","-1,246","0,218","70,000"
'L_PFcm_ROI',"4,354","0,834","0,408","6,658","0,222","0,825","7,498","-0,095","0,924","5,258","-0,683","0,497","6,638","-0,464","0,644","7,732","-0,097","0,923","5,839","0,327","0,745","7,213","-0,119","0,906","7,061","0,327","0,745","2,748","2,271","0,028","10,200","-0,700","0,487","71,000"
'L_PoI2_ROI',"8,804","-0,502","0,618","0,013","2,672","0,010","6,219","-0,269","0,789","7,968","0,023","0,982","1,138","-1,784","0,079","8,037","-0,172","0,864","0,802","1,906","0,062","3,820","1,189","0,240","4,289","1,906","0,062","6,767","0,568","0,572","7,827","0,015","0,988","72,000"
'L_TA2_ROI',"8,303","-0,147","0,884","7,333","0,142","0,887","4,977","1,738","0,087","6,356","1,019","0,312","7,083","-0,228","0,821","4,171","-1,194","0,237","6,623","0,362","0,719","5,394","-0,801","0,427","5,131","0,362","0,719","1,482","1,866","0,068","8,423","-0,624","0,535","73,000"
'L_AVI_ROI',"7,352","0,603","0,548","2,110","1,437","0,156","9,574","0,295","0,769","7,347","-0,349","0,729","9,070","1,017","0,313","5,292","-1,371","0,176","2,415","1,254","0,216","5,037","-1,262","0,213","4,062","1,254","0,216","7,445","-0,442","0,660","3,929","0,731","0,467","74,000"
'L_FOP1_ROI',"1,276","1,566","0,122","7,289","0,117","0,907","7,636","0,904","0,369","7,746","-0,180","0,857","3,586","-1,162","0,250","5,838","-0,783","0,437","7,583","-0,173","0,864","2,959","-1,447","0,154","2,695","-0,173","0,864","4,655","0,861","0,393","3,796","1,320","0,192","75,000"
'L_FOP2_ROI',"10,647","-1,205","0,233","6,108","0,470","0,640","6,268","-0,870","0,388","8,657","0,775","0,441","0,733","-2,317","0,024","7,998","0,275","0,784","7,486","-0,434","0,666","5,048","1,239","0,221","4,459","-0,434","0,666","6,625","-0,303","0,763","7,630","0,231","0,818","76,000"
'L_PFt_ROI',"4,963","0,870","0,388","2,596","1,507","0,137","8,025","0,446","0,657","7,954","0,419","0,677","5,591","1,056","0,295","6,829","-0,487","0,628","6,013","0,699","0,488","6,361","-0,531","0,598","5,730","0,699","0,488","2,384","1,470","0,148","7,867","-0,262","0,794","77,000"
'L_ProS_ROI',"6,036","0,683","0,497","1,002","1,580","0,119","0,874","-1,526","0,132","2,459","-1,510","0,136","9,897","0,420","0,676","7,007","0,300","0,765","5,910","0,257","0,798","5,279","0,840","0,405","4,404","0,257","0,798","6,739","0,676","0,502","4,023","0,535","0,595","78,000"
'L_PBelt_ROI',"6,015","0,502","0,617","2,477","1,090","0,280","2,520","-0,956","0,343","8,239","0,118","0,906","5,855","-0,438","0,663","4,441","0,770","0,445","11,744","-0,454","0,652","7,393","-0,241","0,810","6,941","-0,454","0,652","5,804","1,210","0,232","2,121","1,265","0,211","79,000"
'L_A5_ROI',"6,393","0,295","0,769","3,302","0,705","0,483","5,866","-0,376","0,709","7,387","-0,163","0,871","5,644","-0,365","0,716","7,631","0,062","0,951","6,273","0,366","0,716","6,294","0,567","0,573","6,500","0,366","0,716","1,168","2,366","0,022","8,540","-0,084","0,933","80,000"
'L_PHA3_ROI',"1,767","1,650","0,104","0,064","2,779","0,007","4,691","-1,350","0,182","7,708","-0,134","0,894","7,756","-0,026","0,979","1,884","-1,811","0,075","0,825","1,935","0,059","6,944","-0,319","0,751","7,260","1,935","0,059","3,640","0,727","0,471","1,810","1,574","0,121","81,000"
'L_STSda_ROI',"8,109","-0,115","0,908","5,857","0,342","0,734","2,377","-1,036","0,304","7,025","-0,330","0,743","9,354","0,264","0,792","5,509","0,966","0,338","8,021","-0,376","0,708","7,237","-0,056","0,956","7,180","-0,376","0,708","4,628","1,112","0,271","0,323","2,076","0,042","82,000"
'L_TE1a_ROI',"5,750","0,814","0,419","7,206","-0,290","0,773","9,557","0,233","0,816","8,083","0,115","0,909","7,078","0,426","0,672","5,867","0,612","0,543","4,430","0,467","0,643","7,156","-0,299","0,766","6,971","0,467","0,643","9,576","1,019","0,313","8,229","-0,335","0,738","83,000"
'L_TPOJ1_ROI',"10,621","0,664","0,509","1,068","2,203","0,031","7,375","0,179","0,858","7,728","-0,165","0,870","0,092","-2,586","0,012","7,829","0,487","0,628","0,643","2,488","0,016","5,029","-0,935","0,354","5,266","2,488","0,016","5,872","0,460","0,647","5,128","0,734","0,466","84,000"
'L_DVT_ROI',"7,742","0,150","0,881","0,288","2,100","0,040","4,054","-0,529","0,599","7,451","-0,117","0,907","1,837","-1,192","0,238","3,697","0,997","0,323","10,667","-0,979","0,332","7,005","-0,357","0,722","6,818","-0,979","0,332","7,205","-0,003","0,998","3,377","0,584","0,561","85,000"
